Date,px_last
11/28/2023,1792.808
11/27/2023,1801.154
11/24/2023,1807.5
11/22/2023,1795.54
11/21/2023,1783.263
11/20/2023,1807.084
11/17/2023,1797.766
11/16/2023,1773.757
11/15/2023,1801.22
11/14/2023,1798.324
11/13/2023,1705.502
11/10/2023,1705.325
11/9/2023,1687.239
11/8/2023,1714.068
11/7/2023,1733.151
11/6/2023,1737.939
11/3/2023,1760.705
11/2/2023,1714.211
11/1/2023,1669.703
10/31/2023,1662.282
10/30/2023,1647.29
10/27/2023,1636.938
10/26/2023,1657.003
10/25/2023,1651.428
10/24/2023,1679.502
10/23/2023,1665.885
10/20/2023,1680.792
10/19/2023,1702.702
10/18/2023,1728.809
10/17/2023,1766.046
10/16/2023,1747.061
10/13/2023,1719.711
10/12/2023,1734.254
10/11/2023,1773.295
10/10/2023,1775.946
10/9/2023,1755.994
10/6/2023,1745.558
10/5/2023,1731.51
10/4/2023,1729.013
10/3/2023,1727.153
10/2/2023,1756.817
9/29/2023,1785.102
9/28/2023,1794.312
9/27/2023,1778.903
9/26/2023,1761.609
9/25/2023,1784.24
9/22/2023,1776.503
9/21/2023,1781.826
9/20/2023,1810.102
9/19/2023,1826.527
9/18/2023,1834.301
9/15/2023,1847.033
9/14/2023,1866.632
9/13/2023,1840.84
9/12/2023,1855.32
9/11/2023,1855.142
9/8/2023,1851.545
9/7/2023,1855.759
9/6/2023,1874.282
9/5/2023,1880.45
9/1/2023,1920.825
8/31/2023,1899.676
8/30/2023,1903.213
8/29/2023,1895.538
8/28/2023,1869.007
8/25/2023,1853.628
8/24/2023,1846.278
8/23/2023,1870.032
8/22/2023,1850.836
8/21/2023,1856.014
8/18/2023,1859.421
8/17/2023,1850.058
8/16/2023,1871.519
8/15/2023,1895.755
8/14/2023,1920.493
8/11/2023,1925.114
8/10/2023,1922.621
8/9/2023,1930.767
8/8/2023,1947.418
8/7/2023,1958.935
8/4/2023,1957.463
8/3/2023,1961.403
8/2/2023,1966.832
8/1/2023,1994.167
7/31/2023,2003.177
7/28/2023,1981.537
7/27/2023,1954.896
7/26/2023,1980.355
7/25/2023,1966.112
7/24/2023,1965.678
7/21/2023,1960.255
7/20/2023,1967.16
7/19/2023,1984.886
7/18/2023,1976.067
7/17/2023,1951.269
7/14/2023,1931.09
7/13/2023,1950.891
7/12/2023,1933.376
7/11/2023,1913.361
7/10/2023,1895.252
7/7/2023,1864.664
7/6/2023,1842.233
7/5/2023,1872.907
7/3/2023,1896.781
6/30/2023,1888.734
6/29/2023,1881.591
6/28/2023,1858.709
6/27/2023,1849.93
6/26/2023,1823.26
6/23/2023,1821.635
6/22/2023,1848.178
6/21/2023,1863.015
6/20/2023,1866.699
6/16/2023,1875.467
6/15/2023,1889.282
6/14/2023,1874.098
6/13/2023,1896.333
6/12/2023,1873.214
6/9/2023,1865.706
6/8/2023,1880.779
6/7/2023,1888.447
6/6/2023,1855.401
6/5/2023,1806.713
6/2/2023,1830.906
6/1/2023,1767.94
5/31/2023,1749.65
5/30/2023,1767.292
5/26/2023,1773.022
5/25/2023,1754.605
5/24/2023,1767
5/23/2023,1787.715
5/22/2023,1795.383
5/19/2023,1773.717
5/18/2023,1784.856
5/17/2023,1774.497
5/16/2023,1736.182
5/15/2023,1761.549
5/12/2023,1740.849
5/11/2023,1744.707
5/10/2023,1759.512
5/9/2023,1749.677
5/8/2023,1754.47
5/5/2023,1759.879
5/4/2023,1718.811
5/3/2023,1739.284
5/2/2023,1732.11
5/1/2023,1769.211
4/28/2023,1768.987
4/27/2023,1751.223
4/26/2023,1730.411
4/25/2023,1745.952
4/24/2023,1788.874
4/21/2023,1791.506
4/20/2023,1789.697
4/19/2023,1799.442
4/18/2023,1795.55
4/17/2023,1802.838
4/14/2023,1781.154
4/13/2023,1796.683
4/12/2023,1773.698
4/11/2023,1786.595
4/10/2023,1772.443
4/6/2023,1754.464
4/5/2023,1752.134
4/4/2023,1769.655
4/3/2023,1802.312
3/31/2023,1802.484
3/30/2023,1768.383
3/29/2023,1771.599
3/28/2023,1752.632
3/27/2023,1753.673
3/24/2023,1734.923
3/23/2023,1720.291
3/22/2023,1727.358
3/21/2023,1777.74
3/20/2023,1744.99
3/17/2023,1725.891
3/16/2023,1771.237
3/15/2023,1745.945
3/14/2023,1776.893
3/13/2023,1744.302
3/10/2023,1772.702
3/9/2023,1826.586
3/8/2023,1879.478
3/7/2023,1878.724
3/6/2023,1899.757
3/3/2023,1928.263
3/2/2023,1902.659
3/1/2023,1898.433
2/28/2023,1896.991
2/27/2023,1896.269
2/24/2023,1890.485
2/23/2023,1908.093
2/22/2023,1894.675
2/21/2023,1888.215
2/17/2023,1946.356
2/16/2023,1942.212
2/15/2023,1960.969
2/14/2023,1939.912
2/13/2023,1941.143
2/10/2023,1918.814
2/9/2023,1915.339
2/8/2023,1942.599
2/7/2023,1972.609
2/6/2023,1957.716
2/3/2023,1985.534
2/2/2023,2001.221
2/1/2023,1960.814
1/31/2023,1931.945
1/30/2023,1885.72
1/27/2023,1911.456
1/26/2023,1903.064
1/25/2023,1890.319
1/24/2023,1885.611
1/23/2023,1890.767
1/20/2023,1867.336
1/19/2023,1836.345
1/18/2023,1854.365
1/17/2023,1884.286
1/13/2023,1887.034
1/12/2023,1876.064
1/11/2023,1844.051
1/10/2023,1822.653
1/9/2023,1795.911
1/6/2023,1792.8
1/5/2023,1753.193
1/4/2023,1772.544
1/3/2023,1750.734
12/30/2022,1761.246
12/29/2022,1766.25
12/28/2022,1722.021
12/27/2022,1749.516
12/23/2022,1760.932
12/22/2022,1754.086
12/21/2022,1776.941
12/20/2022,1748.017
12/19/2022,1738.581
12/16/2022,1763.42
12/15/2022,1774.606
12/14/2022,1820.454
12/13/2022,1832.362
12/12/2022,1818.614
12/9/2022,1796.661
12/8/2022,1818.29
12/7/2022,1806.901
12/6/2022,1812.575
12/5/2022,1840.222
12/2/2022,1892.839
12/1/2022,1881.678
11/30/2022,1886.577
11/29/2022,1836.551
11/28/2022,1830.964
11/25/2022,1869.191
11/23/2022,1863.517
11/22/2022,1860.441
11/21/2022,1839.141
11/18/2022,1849.732
11/17/2022,1839.123
11/16/2022,1853.165
11/15/2022,1889.204
11/14/2022,1861.251
11/11/2022,1882.74
11/10/2022,1867.927
11/9/2022,1760.4
11/8/2022,1808.929
11/7/2022,1809.81
11/4/2022,1799.866
11/3/2022,1779.73
11/2/2022,1789.137
