Date,px_last
11/28/2023,4554.89
11/27/2023,4550.43
11/24/2023,4559.34
11/22/2023,4556.62
11/21/2023,4538.19
11/20/2023,4547.38
11/17/2023,4514.02
11/16/2023,4508.24
11/15/2023,4502.88
11/14/2023,4495.7
11/13/2023,4411.55
11/10/2023,4415.24
11/9/2023,4347.35
11/8/2023,4382.78
11/7/2023,4378.38
11/6/2023,4365.98
11/3/2023,4358.34
11/2/2023,4317.78
11/1/2023,4237.86
10/31/2023,4193.8
10/30/2023,4166.82
10/27/2023,4117.37
10/26/2023,4137.23
10/25/2023,4186.77
10/24/2023,4247.68
10/23/2023,4217.04
10/20/2023,4224.16
10/19/2023,4278
10/18/2023,4314.6
10/17/2023,4373.2
10/16/2023,4373.63
10/13/2023,4327.78
10/12/2023,4349.61
10/11/2023,4376.95
10/10/2023,4358.24
10/9/2023,4335.66
10/6/2023,4308.5
10/5/2023,4258.19
10/4/2023,4263.75
10/3/2023,4229.45
10/2/2023,4288.39
9/29/2023,4288.05
9/28/2023,4299.7
9/27/2023,4274.51
9/26/2023,4273.53
9/25/2023,4337.44
9/22/2023,4320.06
9/21/2023,4330
9/20/2023,4402.2
9/19/2023,4443.95
9/18/2023,4453.53
9/15/2023,4450.32
9/14/2023,4505.1
9/13/2023,4467.44
9/12/2023,4461.9
9/11/2023,4487.46
9/8/2023,4457.49
9/7/2023,4451.14
9/6/2023,4465.48
9/5/2023,4496.83
9/1/2023,4515.77
8/31/2023,4507.66
8/30/2023,4514.87
8/29/2023,4497.63
8/28/2023,4433.31
8/25/2023,4405.71
8/24/2023,4376.31
8/23/2023,4436.01
8/22/2023,4387.55
8/21/2023,4399.77
8/18/2023,4369.71
8/17/2023,4370.36
8/16/2023,4404.33
8/15/2023,4437.86
8/14/2023,4489.72
8/11/2023,4464.05
8/10/2023,4468.83
8/9/2023,4467.71
8/8/2023,4499.38
8/7/2023,4518.44
8/4/2023,4478.03
8/3/2023,4501.89
8/2/2023,4513.39
8/1/2023,4576.73
7/31/2023,4588.96
7/28/2023,4582.23
7/27/2023,4537.41
7/26/2023,4566.75
7/25/2023,4567.46
7/24/2023,4554.64
7/21/2023,4536.34
7/20/2023,4534.87
7/19/2023,4565.72
7/18/2023,4554.98
7/17/2023,4522.79
7/14/2023,4505.42
7/13/2023,4510.04
7/12/2023,4472.16
7/11/2023,4439.26
7/10/2023,4409.53
7/7/2023,4398.95
7/6/2023,4411.59
7/5/2023,4446.82
7/3/2023,4455.59
6/30/2023,4450.38
6/29/2023,4396.44
6/28/2023,4376.86
6/27/2023,4378.41
6/26/2023,4328.82
6/23/2023,4348.33
6/22/2023,4381.89
6/21/2023,4365.69
6/20/2023,4388.71
6/16/2023,4409.59
6/15/2023,4425.84
6/14/2023,4372.59
6/13/2023,4369.01
6/12/2023,4338.93
6/9/2023,4298.86
6/8/2023,4293.93
6/7/2023,4267.52
6/6/2023,4283.85
6/5/2023,4273.79
6/2/2023,4282.37
6/1/2023,4221.02
5/31/2023,4179.83
5/30/2023,4205.52
5/26/2023,4205.45
5/25/2023,4151.28
5/24/2023,4115.24
5/23/2023,4145.58
5/22/2023,4192.63
5/19/2023,4191.98
5/18/2023,4198.05
5/17/2023,4158.77
5/16/2023,4109.9
5/15/2023,4136.28
5/12/2023,4124.08
5/11/2023,4130.62
5/10/2023,4137.64
5/9/2023,4119.17
5/8/2023,4138.12
5/5/2023,4136.25
5/4/2023,4061.22
5/3/2023,4090.75
5/2/2023,4119.58
5/1/2023,4167.87
4/28/2023,4169.48
4/27/2023,4135.35
4/26/2023,4055.99
4/25/2023,4071.63
4/24/2023,4137.04
4/21/2023,4133.52
4/20/2023,4129.79
4/19/2023,4154.52
4/18/2023,4154.87
4/17/2023,4151.32
4/14/2023,4137.64
4/13/2023,4146.22
4/12/2023,4091.95
4/11/2023,4108.94
4/10/2023,4109.11
4/6/2023,4105.02
4/5/2023,4090.38
4/4/2023,4100.6
4/3/2023,4124.51
3/31/2023,4109.31
3/30/2023,4050.83
3/29/2023,4027.81
3/28/2023,3971.27
3/27/2023,3977.53
3/24/2023,3970.99
3/23/2023,3948.72
3/22/2023,3936.97
3/21/2023,4002.87
3/20/2023,3951.57
3/17/2023,3916.64
3/16/2023,3960.28
3/15/2023,3891.93
3/14/2023,3919.29
3/13/2023,3855.76
3/10/2023,3861.59
3/9/2023,3918.32
3/8/2023,3992.01
3/7/2023,3986.37
3/6/2023,4048.42
3/3/2023,4045.64
3/2/2023,3981.35
3/1/2023,3951.39
2/28/2023,3970.15
2/27/2023,3982.24
2/24/2023,3970.04
2/23/2023,4012.32
2/22/2023,3991.05
2/21/2023,3997.34
2/17/2023,4079.09
2/16/2023,4090.41
2/15/2023,4147.6
2/14/2023,4136.13
2/13/2023,4137.29
2/10/2023,4090.46
2/9/2023,4081.5
2/8/2023,4117.86
2/7/2023,4164
2/6/2023,4111.08
2/3/2023,4136.48
2/2/2023,4179.76
2/1/2023,4119.21
1/31/2023,4076.6
1/30/2023,4017.77
1/27/2023,4070.56
1/26/2023,4060.43
1/25/2023,4016.22
1/24/2023,4016.95
1/23/2023,4019.81
1/20/2023,3972.61
1/19/2023,3898.85
1/18/2023,3928.86
1/17/2023,3990.97
1/13/2023,3999.09
1/12/2023,3983.17
1/11/2023,3969.61
1/10/2023,3919.25
1/9/2023,3892.09
1/6/2023,3895.08
1/5/2023,3808.1
1/4/2023,3852.97
1/3/2023,3824.14
12/30/2022,3839.5
12/29/2022,3849.28
12/28/2022,3783.22
12/27/2022,3829.25
12/23/2022,3844.82
12/22/2022,3822.39
12/21/2022,3878.44
12/20/2022,3821.62
12/19/2022,3817.66
12/16/2022,3852.36
12/15/2022,3895.75
12/14/2022,3995.32
12/13/2022,4019.65
12/12/2022,3990.56
